invert,sepia,saturate,hue-rotate,brightness,contrast
24,98,2113,93,103,103
33,100,968,87,93,108
30,43,5089,96,98,104
32,52,5625,113,94,105
44,95,5083,108,93,103
28,85,2219,107,95,102
38,90,3584,93,94,105
30,63,3106,105,95,104
30,99,1371,95,98,105
22,100,2763,116,103,104
31,97,1108,90,103,105
37,47,7165,109,98,108
31,74,3264,106,98,102
31,87,1543,94,99,105
51,85,5497,104,95,108
34,94,1641,94,94,102
28,41,6685,106,107,106
30,84,2017,100,100,104
34,97,1474,91,95,106
31,87,2513,104,101,103
37,45,3483,98,96,106
35,83,3239,104,100,105
44,93,4877,101,104,103
34,95,1191,92,98,108
36,97,1504,93,95,106
34,90,1622,98,97,107
46,84,3657,94,97,103
45,95,4104,98,102,103
34,96,2598,101,104,104
37,73,1907,92,99,105
40,49,2580,92,98,104
34,89,1554,96,102,103
37,72,1804,93,101,103
35,94,1462,94,101,105
40,51,2669,92,101,104
50,49,5442,91,100,105
38,95,1181,90,98,108
37,81,2074,95,102,110
47,28,7056,94,101,109
36,86,2426,96,108,104
56,63,6792,99,106,108
61,51,7311,93,102,106
43,100,1842,88,98,113
56,75,5074,91,104,104
40,71,2111,91,105,105
42,55,2948,90,105,109
47,19,6607,88,101,112
39,96,1117,89,102,111
39,97,1355,89,103,109
42,61,1717,88,103,111
42,86,1911,89,103,112
40,86,1601,89,105,110
48,81,3272,89,105,111
57,82,4273,89,103,115
43,41,2535,89,106,110
43,58,1589,87,103,113
46,32,3803,88,105,112
42,72,2735,91,112,107
46,61,3022,89,107,112
53,25,6333,85,101,119
45,84,1967,87,104,116
39,93,1291,89,109,111
44,93,1962,88,106,116
47,95,2087,86,104,117
52,59,4174,88,108,115
45,96,2301,89,110,112
62,79,4871,87,108,114
48,73,2883,87,108,116
54,82,3624,88,106,119
43,91,1588,87,107,118
59,66,4068,84,103,122
41,100,890,84,107,120
41,96,1266,87,111,115
46,48,4182,90,119,108
55,41,5076,86,108,119
51,83,3636,90,115,114
60,87,4197,88,110,118
44,85,1950,88,113,117
47,53,2066,85,109,119
60,53,6241,88,116,114
44,25,4737,90,120,111
59,52,5670,87,113,118
62,97,3956,86,111,119
65,92,4595,88,114,118
44,72,1958,87,115,118
60,60,5436,89,114,120
57,55,5352,87,117,116
42,37,3768,93,125,112
46,55,2355,88,113,124
64,48,6457,86,113,121
49,97,2183,88,110,128
58,70,4162,85,114,121
52,41,4979,87,119,117
55,79,3117,86,110,128
58,55,4950,86,116,120
60,100,3580,86,113,126
45,80,2399,88,121,119
55,38,4887,85,115,123
45,73,2207,89,122,118
66,51,6920,88,116,127
71,72,5520,84,116,124
68,93,5152,91,124,118
50,93,2770,88,122,119
57,66,3182,82,116,122
54,34,5771,87,120,123
57,69,4384,89,121,123
56,50,5419,88,124,122
62,43,5703,83,114,131
77,77,6318,88,125,119
43,70,3002,90,135,116
53,73,3075,84,119,128
48,49,2122,88,120,122
0,54,19,216,89,102
4,50,335,67,108,109
2,18,4849,105,88,103
1,38,6253,108,88,101
4,11,3354,38,82,106
4,34,3732,112,108,116
3,11,6158,130,93,104
2,54,6237,100,87,104
1,73,4206,93,106,101
4,8,7500,82,101,105
3,20,4909,89,86,102
3,83,1948,119,91,105
4,60,2174,111,86,104
5,34,2255,79,93,107
2,82,4853,116,107,101
5,75,1463,78,102,106
6,74,2376,142,92,118
5,50,2540,95,94,105
6,23,5245,78,100,107
5,46,5301,82,90,108
4,50,5505,116,93,105
5,62,3077,85,97,105
